text,sleep_hours,physical_activity,work_hours,social_interaction,stress_level
I feel extremely anxious and overwhelmed,4,low,12,low,high
I'm doing great and feel relaxed,8,high,6,high,low
Work is stressful but manageable,6,medium,9,medium,medium
I can't sleep and feel tired all the time,3,low,11,low,high
Feeling happy and energetic today,7,high,7,high,low
Too much pressure at work,5,low,10,low,high
Everything is going smoothly,8,medium,8,medium,low
I feel stressed about deadlines,5,medium,10,medium,high
Relaxed weekend vibes,9,high,4,high,low
Feeling burnt out and exhausted,4,low,13,low,high
I'm managing my stress well,7,medium,8,medium,low
Worried about many things,5,low,9,low,high
Life is balanced and peaceful,8,high,7,high,low
Stressed about finances,6,low,10,low,high
Enjoying time with family,8,high,6,high,low
Too many responsibilities,4,low,11,low,high
Feeling calm and focused,7,medium,7,medium,low
Anxiety is taking over,3,low,12,low,high
Great work-life balance,8,high,8,high,low
Can't handle the pressure,4,low,13,low,high
Things are looking up,7,medium,7,medium,low
Constantly worried and tense,5,low,11,low,high
Having a wonderful day,8,high,6,high,low
Feeling overwhelmed by tasks,4,low,10,low,high
Peaceful and content,8,medium,7,medium,low
Stress is affecting my health,3,low,12,low,high
Exercising regularly feels great,8,high,7,high,low
Too much on my plate,5,low,11,low,high
Sleeping well and refreshed,9,high,6,high,low
Feeling depressed and stressed,3,low,13,low,high
Maintaining healthy habits,7,high,7,medium,low
Work pressure is unbearable,4,low,12,low,high
Enjoying hobbies and relaxation,8,high,6,high,low
Stressed about relationships,5,low,9,low,high
Life feels balanced,8,medium,8,medium,low
Cannot focus due to stress,4,low,11,low,high
Feeling motivated and happy,7,high,7,high,low
Experiencing panic attacks,3,low,13,low,high
Taking good care of myself,8,high,7,high,low
Overwhelmed and exhausted,4,low,12,low,high
Calm and collected,7,medium,8,medium,low
Stress is ruining everything,3,low,13,low,high
Perfect work-life harmony,8,high,7,high,low
Too much anxiety lately,5,low,10,low,high
Feeling great about life,8,high,6,high,low
Constant headaches from stress,4,low,11,low,high
Relaxed and happy,8,medium,7,medium,low
Stress keeps me awake,3,low,12,low,high
Maintaining good mental health,7,high,7,high,low
Everything feels chaotic,4,low,13,low,high
Peaceful state of mind,8,high,8,high,low